[0/6] CSV okundu. Toplam satır: 4537 | com: 3714 | de: 820
[1/6] Benzersiz değerler çıkarılıyor...
[1/6] Tamam. Süre: 0.01 sn | Benzersiz Title (com): 3304 | (de): 735 | Benzersiz Category (com): 108 | (de): 28

[2/6] Title çevirileri başlıyor...
[Title EN->TR] Başlıyor | src=en dest=tr | toplam benzersiz=3304
[Title DE->TR] İlerleme 100/735 | ok=100 fail=0 | hız=1.19/sn | kalan~8.9 dk
[Title DE->TR] İlerleme 125/735 | ok=125 fail=0 | hız=1.14/sn | kalan~9.0 dk
[Title DE->TR] İlerleme 150/735 | ok=150 fail=0 | hız=1.12/sn | kalan~8.7 dk
[Title DE->TR] İlerleme 175/735 | ok=175 fail=0 | hız=1.10/sn | kalan~8.5 dk
[Title DE->TR] İlerleme 200/735 | ok=200 fail=0 | hız=1.03/sn | kalan~8.7 dk
[Title DE->TR] İlerleme 225/735 | ok=225 fail=0 | hız=1.02/sn | kalan~8.3 dk
[Title DE->TR] İlerleme 250/735 | ok=250 fail=0 | hız=1.02/sn | kalan~7.9 dk
[Title DE->TR] İlerleme 275/735 | ok=275 fail=0 | hız=1.03/sn | kalan~7.5 dk
[Title DE->TR] İlerleme 300/735 | ok=300 fail=0 | hız=1.03/sn | kalan~7.1 dk
[Title DE->TR] İlerleme 325/735 | ok=325 fail=0 | hız=1.03/sn | kalan~6.6 dk
[Title DE->TR] İlerleme 350/735 | ok=350 fail=0 | hız=1.03/sn | kalan~6.2 dk
[Title DE->TR] İlerleme 375/735 | ok=375 fail=0 | hız=1.03/sn | kalan~5.8 dk
[Title DE->TR] İlerleme 400/735 | ok=400 fail=0 | hız=1.02/sn | kalan~5.5 dk
[Title DE->TR] İlerleme 425/735 | ok=425 fail=0 | hız=1.01/sn | kalan~5.1 dk
[Title DE->TR] İlerleme 450/735 | ok=450 fail=0 | hız=0.98/sn | kalan~4.8 dk
[Title DE->TR] İlerleme 475/735 | ok=475 fail=0 | hız=0.96/sn | kalan~4.5 dk
